date,open,high,low,close,volume
5/4/2021,320.025,322.19,313.12,318.36,24032557
5/5/2021,318.19,321.06,314.49,315.02,15577605
5/6/2021,314.52,320.24,313.275,320.02,19012241
5/7/2021,322.38,322.935,318.75,319.08,15916743
5/10/2021,314.35,314.5786,304.83,305.97,24050335
5/11/2021,300.75,306.84,299.69,306.53,18767808
5/12/2021,301.13,304.96,298.19,302.55,24641010
5/13/2021,306.0833,308.86,302.7701,305.26,18079160
5/14/2021,309.54,316.85,309.08,315.94,19057238
5/17/2021,313.55,315.68,311.58,315.46,15356141
5/18/2021,315.59,316.5,309.81,309.96,14396686
5/19/2021,304.185,314.66,303.57,313.59,19004390
5/20/2021,313.58,319.25,313.16,318.61,17320241
5/21/2021,319.29,319.93,315.8101,316.23,13600901
5/24/2021,318.21,325.95,318.03,324.63,16343794
5/25/2021,327.08,329.18,324.8,327.79,16436965
5/26/2021,328.35,329.8299,325.82,327.66,9607561
5/27/2021,328,333.78,326.76,332.75,20286922
5/28/2021,331,332.8684,328.33,328.73,12037430
6/1/2021,330.15,331.42,326.64,329.13,11765906
6/2/2021,330.38,331.87,327.1215,329.15,11645698
6/3/2021,325.78,327.375,323.48,326.04,12569358
6/4/2021,325.9,332.455,325.18,330.35,13156889
6/7/2021,329.48,337.69,328.93,336.58,20110431
6/8/2021,336.7,338.2999,332.24,333.68,14580464
6/9/2021,335.74,336.8,330,330.25,13654652
6/10/2021,330.785,333.94,328.545,332.46,13161143
6/11/2021,332.58,332.83,328.93,331.26,13524236
6/14/2021,331.9,336.82,329.81,336.77,12250799
6/15/2021,336.99,339.92,335.03,336.75,15742806
6/16/2021,336.695,337.55,328.72,331.08,17031281
6/17/2021,330.49,337.98,330.15,336.51,17794080
6/18/2021,334.53,336.15,329,329.66,23039457
6/21/2021,331.09,332.92,327.65,332.29,11070712
6/22/2021,332.685,339.92,332.6,339.03,15215474
6/23/2021,339.35,343.4199,338.2,340.59,14817824
6/24/2021,341.85,344.9,341.79,343.18,12287867
6/25/2021,342.59,344.12,339.68,341.37,14594444
6/28/2021,342.46,358.14,341.77,355.64,28928889
6/29/2021,356.27,356.74,349.05,351.89,21331628
6/30/2021,352.165,352.92,347.17,347.71,15107514
7/1/2021,346.82,354.6699,346.5,354.39,17137021
7/2/2021,355.1,356.44,352.62,354.7,11524614
7/6/2021,356.5,358.79,349.18,352.78,13211008
7/7/2021,355.26,356.49,350,350.49,14141365
7/8/2021,345.73,348.33,342.56,345.65,14267692
7/9/2021,345.32,350.71,345.265,350.42,13018694
7/12/2021,351.23,354.19,349.64,353.16,10018624
7/13/2021,351.5,358.49,348.8,352.09,11455963
7/14/2021,354.56,355.2,346.73,347.63,13894221
7/15/2021,349.2348,349.2348,340.22,344.46,14781594
7/16/2021,344.91,345.9899,340.14,341.16,10825814
7/19/2021,337.57,339.79,334.54,336.95,14372345
7/20/2021,338.8,343.45,334.5,341.66,10984410
7/21/2021,341.5,346.52,341.25,346.23,9279657
7/22/2021,346.68,351.54,345.21,351.19,12385441
7/23/2021,360.91,375.33,357.19,369.79,33694328
7/26/2021,369.58,374.44,368.22,372.46,14811113
7/27/2021,371.91,373.15,364.55,367.81,14926227
7/28/2021,374.56,377.5499,366.93,373.28,29676910
7/29/2021,361,365.52,356.74,358.32,33413244
7/30/2021,354,360.73,352.94,356.3,15976179
8/2/2021,358.1,359.4,350.74,351.95,12688575
8/3/2021,352.73,353.7699,347.7,351.24,12406054
8/4/2021,352.42,360.48,351.51,358.92,14180572
8/5/2021,359.64,363.9,356.9,362.97,10247207
8/6/2021,361.4,365.15,361.395,363.51,8925017
8/9/2021,363.7623,365.775,360.75,361.61,7798872
8/10/2021,361.825,364.1,359.0435,361.13,7469878
8/11/2021,362.1,362.36,357.81,359.96,8400332
8/12/2021,358.45,363,357.11,362.65,7175206
8/13/2021,362.97,364.6607,361.48,363.18,7195724
8/16/2021,362.52,366.95,357.38,366.56,11232269
8/17/2021,362.98,364.67,355.07,358.45,12308213
8/18/2021,356.25,359.86,355.15,355.45,9408786
8/19/2021,351.345,357.57,351,355.12,11753981
8/20/2021,354.6,359.9898,353.31,359.37,8659608
8/23/2021,359.44,365.69,359.1,363.35,10885198
